date,int_ftse,int_dax,int_nikkei,int_spx
1994-01-10,-5.0,1.0,319.0,6.0
1994-01-11,-27.0,3.0,42.0,-1.0
1994-01-12,-41.0,-46.0,308.0,0.0
1994-01-13,-12.0,-40.0,-216.0,-2.0
1994-01-14,40.0,9.0,396.0,2.0
1994-01-17,7.0,-36.0,-248.0,-1.0
1994-01-18,30.0,15.0,-211.0,1.0
1994-01-19,38.0,2.0,525.0,0.0
1994-01-20,-6.0,-34.0,144.0,0.0
1994-01-21,15.0,-25.0,124.0,0.0
1994-01-24,-3.0,34.0,-954.0,-3.0
1994-01-25,-38.0,-17.0,295.0,-1.0
1994-01-26,-7.0,38.0,490.0,3.0
1994-01-27,-9.0,-5.0,-247.0,4.0
1994-01-28,20.0,33.0,-134.0,1.0
1994-01-31,44.0,36.0,1472.0,3.0
1994-02-01,-10.0,-11.0,187.0,-2.0
1994-02-02,39.0,3.0,-166.0,3.0
1994-02-03,-29.0,-47.0,-76.0,-2.0
1994-02-04,-16.0,6.0,127.0,-11.0
1994-02-07,-56.0,-48.0,-287.0,2.0
1994-02-08,21.0,4.0,237.0,0.0
1994-02-09,-11.0,17.0,-410.0,1.0
1994-02-10,-23.0,3.0,149.0,-4.0
1994-02-11,-28.0,-11.0,0.0,2.0
1994-02-14,-15.0,-7.0,-531.0,0.0
1994-02-15,30.0,29.0,-485.0,2.0
1994-02-16,24.0,5.0,78.0,0.0
1994-02-17,8.0,27.0,-121.0,-2.0
1994-02-18,-43.0,-29.0,28.0,-3.0
1994-02-21,-32.0,-25.0,434.0,0.0
1994-02-22,-17.0,5.0,-51.0,4.0
1994-02-23,8.0,27.0,-1.0,-1.0
1994-02-24,-74.0,-58.0,424.0,-6.0
1994-02-25,14.0,-7.0,38.0,2.0
1994-02-28,47.0,28.0,194.0,1.0
1994-03-01,-58.0,-47.0,219.0,-3.0
1994-03-02,-22.0,-38.0,-472.0,0.0
1994-03-03,-2.0,26.0,-139.0,-1.0
1994-03-04,32.0,32.0,361.0,1.0
1994-03-07,27.0,56.0,-155.0,2.0
1994-03-08,-41.0,-7.0,87.0,-1.0
1994-03-09,-18.0,-7.0,-59.0,2.0
1994-03-10,-13.0,6.0,251.0,-4.0
1994-03-11,-42.0,-23.0,25.0,3.0
1994-03-14,42.0,68.0,411.0,1.0
1994-03-15,34.0,9.0,-18.0,0.0
1994-03-16,-25.0,-10.0,169.0,2.0
1994-03-17,13.0,-8.0,-85.0,1.0
1994-03-18,-37.0,-20.0,-123.0,1.0
1994-03-21,-21.0,-10.0,0.0,-3.0
1994-03-22,4.0,11.0,-216.0,0.0
1994-03-23,-46.0,21.0,-291.0,0.0
1994-03-24,-34.0,-18.0,75.0,-4.0
1994-03-25,7.0,0.0,-201.0,-4.0
1994-03-28,1.0,23.0,105.0,0.0
1994-03-29,-6.0,-5.0,-232.0,-8.0
1994-03-30,-31.0,-11.0,-150.0,-7.0
1994-03-31,-6.0,-9.0,-448.0,0.0
1994-04-01,0.0,0.0,166.0,0.0
1994-04-04,0.0,0.0,-155.0,-7.0
1994-04-05,30.0,35.0,441.0,10.0
1994-04-06,15.0,7.0,133.0,0.0
1994-04-07,-2.0,0.0,194.0,2.0
1994-04-08,-9.0,19.0,44.0,-3.0
1994-04-11,29.0,21.0,-36.0,2.0
1994-04-12,10.0,-13.0,-250.0,-2.0
1994-04-13,-14.0,4.0,412.0,-1.0
1994-04-14,-14.0,-17.0,-73.0,0.0
1994-04-15,37.0,13.0,177.0,0.0
1994-04-18,-30.0,7.0,113.0,-4.0
1994-04-19,-10.0,-25.0,-85.0,0.0
1994-04-20,-30.0,1.0,-310.0,-1.0
1994-04-21,3.0,0.0,-83.0,7.0
1994-04-22,32.0,24.0,165.0,-1.0
1994-04-25,-27.0,-10.0,-255.0,5.0
1994-04-26,19.0,33.0,-81.0,-1.0
1994-04-27,25.0,15.0,101.0,0.0
1994-04-28,-21.0,-19.0,-4.0,-2.0
1994-04-29,-4.0,15.0,0.0,1.0
1994-05-02,0.0,14.0,-155.0,3.0
1994-05-03,-25.0,-5.0,0.0,0.0
1994-05-04,-30.0,-20.0,0.0,-2.0
1994-05-05,36.0,8.0,0.0,0.0
1994-05-06,0.0,-16.0,292.0,-4.0
1994-05-09,-9.0,-15.0,-76.0,-5.0
1994-05-10,39.0,23.0,131.0,4.0
1994-05-11,-6.0,7.0,233.0,-5.0
1994-05-12,7.0,0.0,74.0,2.0
1994-05-13,-18.0,9.0,46.0,1.0
1994-05-16,-4.0,15.0,-82.0,0.0
1994-05-17,8.0,-4.0,-55.0,5.0
1994-05-18,-7.0,-14.0,19.0,4.0
1994-05-19,6.0,-9.0,69.0,3.0
1994-05-20,5.0,-7.0,121.0,-2.0
1994-05-23,-19.0,0.0,226.0,-1.0
1994-05-24,-19.0,-50.0,54.0,1.0
1994-05-25,-69.0,-51.0,41.0,2.0
1994-05-26,-1.0,9.0,-168.0,1.0
1994-05-27,-53.0,-34.0,282.0,0.0
1994-05-30,0.0,17.0,61.0,0.0
1994-05-31,4.0,8.0,135.0,-1.0
1994-06-01,-39.0,-24.0,80.0,1.0
1994-06-02,49.0,0.0,-44.0,0.0
1994-06-03,17.0,45.0,-55.0,3.0
1994-06-06,12.0,5.0,-228.0,-2.0
1994-06-07,-5.0,-32.0,316.0,0.0
1994-06-08,34.0,13.0,219.0,-1.0
1994-06-09,-10.0,-14.0,141.0,0.0
1994-06-10,27.0,13.0,-7.0,1.0
1994-06-13,-39.0,-59.0,157.0,1.0
1994-06-14,23.0,4.0,-199.0,3.0
1994-06-15,6.0,-15.0,-71.0,-2.0
1994-06-16,-15.0,-26.0,85.0,1.0
1994-06-17,-8.0,-16.0,136.0,-3.0
1994-06-20,-51.0,-45.0,-351.0,-3.0
1994-06-21,-31.0,-29.0,-339.0,-4.0
1994-06-22,20.0,47.0,-232.0,2.0
1994-06-23,-18.0,28.0,459.0,-4.0
1994-06-24,-66.0,-27.0,-274.0,-7.0
1994-06-27,23.0,0.0,-466.0,5.0
1994-06-28,10.0,17.0,339.0,-1.0
1994-06-29,37.0,20.0,-158.0,1.0
1994-06-30,-27.0,-22.0,162.0,-3.0
1994-07-01,17.0,20.0,-100.0,2.0
1994-07-04,34.0,21.0,88.0,0.0
1994-07-05,-5.0,-27.0,203.0,0.0
1994-07-06,-19.0,-3.0,-205.0,0.0
1994-07-07,18.0,18.0,-9.0,2.0
1994-07-08,-2.0,-2.0,-94.0,1.0
1994-07-11,21.0,22.0,-53.0,-1.0
1994-07-12,-20.0,-21.0,-73.0,-1.0
1994-07-13,42.0,3.0,140.0,1.0
1994-07-14,45.0,19.0,178.0,5.0
1994-07-15,24.0,23.0,52.0,1.0
1994-07-18,8.0,5.0,-53.0,1.0
1994-07-19,9.0,18.0,58.0,-2.0
1994-07-20,-14.0,4.0,5.0,-2.0
1994-07-21,18.0,6.0,-158.0,1.0
1994-07-22,19.0,22.0,-160.0,1.0
1994-07-25,-8.0,-4.0,-165.0,1.0
1994-07-26,11.0,19.0,48.0,-1.0
1994-07-27,-35.0,-28.0,-208.0,-1.0
1994-07-28,13.0,-1.0,110.0,2.0
1994-07-29,-13.0,18.0,202.0,4.0
1994-08-01,15.0,9.0,-178.0,3.0
